==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 293501
  Task Name   : large-2023
  Dataset     : Datasets/cdcl_dimacs/large/cnfs/2023
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Timeout     : 5000s
  Nodes       : 12  (32 cpus/node)
  Total Files : 296
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
160 8cf6b81061285343c4f33c51afdb3fbb-minxor128...  54258  160469 TIMEOUT   UNSAT      5000.0s       834.6s    N/A
161 bdc85226a8d910a8b7d6a8730c7a4572-PRP_40_40... 249398 1492208 TIMEOUT     SAT      5000.0s      1272.0s    N/A
162 d3daba681653ea969bedf0c4a2fdb947-ER_400_20...    802   48439 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
163 fe8b1ef742724947620a419d0180a640-mchess18-...  26095    1252 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
164 aa4a861240c0c39b5aa44602133ae5e1-stb_418_1...    836   17335 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
165 92c17c00d862668de6e6c45d4eecdc75-combined-...   1545   17584 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
166 99d134de6323a845a2828596a48bbb1d-php17-mix...    460    4494 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
167 835ac60ca83af6f334b64b61c4ad345b-tseitin_d...    240     640 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
168 0be1e12a8e7282d1a4e389bb90f6dbc7-or_randxo...   1200    8093 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
169 eca3692344e30ae83a49158b5baf3372-brent_65_...  77577  335642 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
170 cd58fa8eba4046fd0a86642e1fe26cb9-intervals...   2501   58454 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
171 78d23f235b63b1b7f08eb1b6cfb03f34-29_1.cnf       4768   15968 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
172 4f38f4b005cc54122135c8c21aec4b85-intervals...   2621   59571 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
173 a4941208671f6ebfd118e4e563538c31-SCPC-1000...   1000   51095 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
174 4380f8ed143d97a65f8888b2feeddb80-intervals...   2331   49442 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
175 670a24d73dbadd3073e9604c6ef903d1-tseitin_g... 134680  536648 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
176 35b19a3332597c1e5a3668f75ca72971-SC23_Time... 248899  807483 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
177 2e808d215e4155379a847b146ef38b34-goldcrest... 852822 2626667 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
178 dbe18c99e95ac42816b99b96d36a8732-grs-32-25... 839258 2383464 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
179 0c9da400944b002f90fd385d4fdab385-DivS_568_...    568  553495     SAT     SAT       818.6s       132.8s     OK
180 9a413c250f82a93d513d4092ba654ee2-asconhash... 127008  297277   UNSAT   UNSAT      1335.3s       642.7s     OK
181 00f4aca773e5675f35263dcd46b15bde-vmpc_28.s...    784  108080     SAT     SAT      2931.3s       249.2s     OK
182 92d6795785d35d1dcc42b15dc0e933d0-grid-pbl-...  22650   44852 TIMEOUT   UNSAT      5000.0s      397.9ms    N/A
183 28f29fe949422ec88892e18073de065c-5col100_1...    300    4059 TIMEOUT   UNSAT      5000.0s      56.639s    N/A
184 1b86f59ce4c43f19f0ad1238f8c362b4-PRP_30_37... 172792 1032660 TIMEOUT     SAT      5000.0s       177.7s    N/A
