/opt/gridview/slurm/spool/slurmd/job289967/slurm_script: line 16: module: command not found
==========================================================================================
  SAT Solver Benchmark: CDCLSolver vs MiniSat (Parallel)
==========================================================================================
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Dataset     : Datasets/cdcl_dimacs/large/cnfs (356 files)
  Timeout     : 300s
  Workers     : 32
==========================================================================================

[INFO] Submitting 356 instances ...
  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
159 63159b6b10c3d6832bd5944e05d78b11-SCPC-700-...    700   27256 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
158 62c763bdf8d351b15df3a4d62a03eba0-g2-ak128a... 260359  845072 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
157 5f6861053fb4ed4fc0b997cd6b505ef4-tseitin_d... 165000  440000 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
160 644fd765d26bd4a380922ccd0f594c58-mchess18-...  26095    1223 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
161 670a24d73dbadd3073e9604c6ef903d1-tseitin_g... 134680  536648 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
164 6aacae96461cb65176942b6dc88ea470-mchess20-...  39805    1513 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
167 6d67f76f114db9801952ed155e745e16-23_2.cnf       3808   12704 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
162 67904554c73addf89fe675bd8e494641-intervals...   2604   64331 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
163 68649ac2830edad5d0dc7e3d13935132-SCPC-800-...    800   33758 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
166 6bb485770dbc3943ea84933a03131958-satcoin-g... 134781  648806 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 170/356
165 6b2ccabf0304af478a558b8a333ced32-grs-192-2... 1436378 4172104 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
168 6e5efd19744842d1fa5415173bffbf6b-tseitin_d... 270000  720000 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
169 6e9cae5108bd423666c73aaace197769-brent_51_...  60534  248804 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
172 70ce0cff914efdc48f2a8fe86b5c68c6-TableMode...  12432  164976 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
173 711ff7681711949f44b07a0d530dc729-asconhash... 158780  373402 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
174 71270454196ae092b28d0a74300a85e1-Schur_161...    755   27517 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
175 71758ed7637888d4fd4593ec820677bc-SCPC-800-...    800   33552 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
