==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 290866
  Total Files : 356
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
169 81d2158d506ea1049708837460b9387e-WS_400_24...    800   15201 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
170 8c7477dc33a412514998a2fd6b32dbf5-intervals...   2630   64446 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
171 0eb98926b26343d31954169dfbde2b24-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
172 a09a2d7397732447bdcc9651973767b7-TableSymM...   9090  110055 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
173 1a20649a8c79d6675d934cec271d573f-tseitin_g...  19800   78408 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
174 53799aafcd0c684a2adc79400bd35f82-satcoin-g... 141429  646176 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
175 f090d0d6eaff3b92c817f5db6fa47544-intervals...   2867   71030 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
176 aa0d6b8c63f57956b9aed350f38e0571-intervals...   2353   52270 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
177 33bcf82677b7fdacf18dd48892596a1d-Timetable... 378430 2649518 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
178 b6c44ccb3174b7f0a69185b11de86cfa-grs-128-6... 190772  560798 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
179 03de316ba1e90305471a3b8620cb9cd7-satsgi-n2...    598   14076     SAT     SAT      633.3ms       27.3ms     OK
180 1a6a635f5b959e191ec705b2f236568a-square.2....  42387  183641 TIMEOUT   UNSAT      5000.0s       7.407s    N/A
181 2a144840047376cee3b7b99455158976-goldberg0...  12998   77941 TIMEOUT   UNSAT      5000.0s       117.0s    N/A
182 558113ad4d50130351db8c426230a50f-asconhash... 158758  373505 TIMEOUT   UNSAT      5000.0s       501.0s    N/A
183 e444548857eaf649c4624e3494c89c8e-asconhash... 158617  373265 TIMEOUT   UNSAT      5000.0s      1199.6s    N/A
184 00b46ace235e3915a439c77a231a5657-TableSymM...   7182   70140 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
185 112b0ac22b2a567cd3badfed3a5497fd-mchess16-...  16278     988 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
186 ae7e391be73431e5dddf2bbafe95758a-WS_400_24...    800   15601 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
187 8d458780fb74c28c01a5fe89990ad521-mchess16-...  16278    1010 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
188 964162c1faee2c1e3a4dfa4f9c75c34f-php18-mix...    526    5477 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
189 23c4e178c94c0dff82ea6c87abed7ecc-rphp_p60_...   7200  214350 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
190 cbd0933002d6c4ea99ceb47bb0c3f4c9-em_11_3_4...   8713   99699 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
191 ff5170c690129f8c94658e82b6aab05c-Urquhart-...    114     888 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
192 3f341c57c37d86350af5233b8e15e52e-19_2.cnf       3168   10528 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
193 828e1066a477e98e8d834528df3fc874-or_randxo...   1120    7559 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
194 34e5fd58b65bf305cc773f0dbfb47917-intervals...   2572   55768 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
195 a18b6fbdfee43c007e07dedf15477797-SCPC-700-...    700   27447 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
196 d60f56735dc8e89d7d91a01f4340df0c-baseballc... 3572612 7145097 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
